E R
1.000E-03 9.857E-06
1.500E-03 1.310E-05
2.000E-03 1.595E-05
2.500E-03 1.852E-05
3.000E-03 2.088E-05
4.000E-03 2.512E-05
5.000E-03 2.891E-05
6.000E-03 3.236E-05
7.000E-03 3.555E-05
8.000E-03 3.853E-05
9.000E-03 4.134E-05
1.000E-02 4.400E-05
1.250E-02 5.019E-05
1.500E-02 5.588E-05
1.750E-02 6.120E-05
2.000E-02 6.623E-05
2.250E-02 7.101E-05
2.500E-02 7.560E-05
2.750E-02 8.002E-05
3.000E-02 8.430E-05
3.500E-02 9.250E-05
4.000E-02 1.003E-04
4.500E-02 1.079E-04
5.000E-02 1.152E-04
5.500E-02 1.224E-04
6.000E-02 1.295E-04
6.500E-02 1.364E-04
7.000E-02 1.433E-04
7.500E-02 1.501E-04
8.000E-02 1.569E-04
8.500E-02 1.637E-04
9.000E-02 1.705E-04
9.500E-02 1.773E-04
1.000E-01 1.842E-04
1.250E-01 2.190E-04
1.500E-01 2.554E-04
1.750E-01 2.940E-04
2.000E-01 3.349E-04
2.250E-01 3.783E-04
2.500E-01 4.244E-04
2.750E-01 4.730E-04
3.000E-01 5.241E-04
3.500E-01 6.340E-04
4.000E-01 7.538E-04
4.500E-01 8.830E-04
5.000E-01 1.021E-03
5.500E-01 1.169E-03
6.000E-01 1.324E-03
6.500E-01 1.489E-03
7.000E-01 1.661E-03
7.500E-01 1.842E-03
8.000E-01 2.032E-03
8.500E-01 2.229E-03
9.000E-01 2.434E-03
9.500E-01 2.646E-03
1.000E+00 2.867E-03
1.250E+00 4.082E-03
1.500E+00 5.479E-03
1.750E+00 7.051E-03
2.000E+00 8.792E-03
2.250E+00 1.070E-02
2.500E+00 1.276E-02
2.750E+00 1.499E-02
3.000E+00 1.737E-02
3.500E+00 2.258E-02
4.000E+00 2.839E-02
4.500E+00 3.478E-02
5.000E+00 4.173E-02
5.500E+00 4.925E-02
6.000E+00 5.731E-02
6.500E+00 6.592E-02
7.000E+00 7.506E-02
7.500E+00 8.474E-02
8.000E+00 9.493E-02
8.500E+00 1.056E-01
9.000E+00 1.169E-01
9.500E+00 1.286E-01
1.000E+01 1.408E-01
1.250E+01 2.094E-01
1.500E+01 2.899E-01
1.750E+01 3.820E-01
2.000E+01 4.855E-01
2.500E+01 7.252E-01
2.750E+01 8.609E-01
3.000E+01 1.007E+00
3.500E+01 1.330E+00
4.000E+01 1.691E+00
4.500E+01 2.091E+00
5.000E+01 2.528E+00
5.500E+01 3.001E+00
6.000E+01 3.509E+00
6.500E+01 4.052E+00
7.000E+01 4.628E+00
7.500E+01 5.236E+00
8.000E+01 5.876E+00
8.500E+01 6.548E+00
9.000E+01 7.250E+00
9.500E+01 7.983E+00
1.000E+02 8.744E+00
1.250E+02 1.297E+01
1.500E+02 1.786E+01
1.750E+02 2.334E+01
2.000E+02 2.937E+01
2.250E+02 3.590E+01
2.500E+02 4.290E+01
2.750E+02 5.033E+01
3.000E+02 5.816E+01
3.500E+02 7.490E+01
4.000E+02 9.293E+01
4.500E+02 1.121E+02
5.000E+02 1.322E+02
5.500E+02 1.532E+02
6.000E+02 1.749E+02
6.500E+02 1.973E+02
7.000E+02 2.203E+02
7.500E+02 2.437E+02
8.000E+02 2.677E+02
8.500E+02 2.921E+02
9.000E+02 3.168E+02
9.500E+02 3.418E+02
1.000E+03 3.672E+02
1.500E+03 6.311E+02
2.000E+03 9.041E+02
2.500E+03 1.179E+03
3.000E+03 1.454E+03
4.000E+03 1.996E+03
5.000E+03 2.528E+03
6.000E+03 3.050E+03
7.000E+03 3.563E+03
8.000E+03 4.067E+03
9.000E+03 4.564E+03
1.000E+04 5.054E+03
