energy,range
28,0.20009195270494984
29,25.08097172944703
30,25.484147253202195
31,25.045395764177638
32,25.61957571068769
33,25.125117859858367
34,25.418687587966396
35,25.50029178071673
36,25.061894154220425
37,25.69504253623587
38,25.280633092117558
39,25.291370114347654
40,25.600802338570194
41,50.260228302582476
42,50.231830947822544
43,50.28863037082975
44,50.42345879548314
45,50.30469408099407
46,50.1145205560636
47,50.70304099489943
48,50.91891809290168
49,50.81958161284325
50,50.81606139194371
51,75.79930763393985
52,75.62586417571609
53,75.86732836123268
54,75.62863619449686
55,76.16909781137748
56,75.70474254284272
57,75.50520344170133
58,75.69999611314302
59,76.57097702954012
60,101.86097255432159
61,100.73401253173235
62,100.69841851816614
63,100.45484115119713
64,101.11255345747315
65,101.14458418888424
66,100.37104424495057
67,125.92485928122898
68,126.0272970491334
69,126.7371106673225
70,125.21567502631454
71,126.07298873076832
72,125.96701663922161
73,125.73366878870254
74,134.56410494393603
75,151.0255080570714
76,150.8530787995505
77,151.54612131972323
78,150.65060357278327
79,151.21495967738423
80,150.33006518921894
81,175.3392570409586
82,176.14384810981386
83,176.69158506092552
84,175.6685284877064
85,175.62415988856833
86,176.148200989921
87,200.51328539923713
88,200.78846217588335
89,200.83621339679746
90,200.68041639694616
91,202.9252077432846
92,201.54353807061412
93,226.71774897064853
94,226.06425917914225
95,225.6361123662668
96,226.13809573698845
97,226.7639880696861
98,226.1545654612733
99,252.01838843828585
100,251.80404133563437
101,250.598020717189
102,251.08391209091945
103,250.61399711060943
104,276.3555675546824
105,276.73862860936663
106,276.85944564259756
107,277.4557830114219
108,277.2903257375784
109,279.85427807595715
110,302.365517057064
111,301.8453505316754
112,302.74884948884943
113,300.51826398128895
114,305.05735227821447
115,325.4430627545698
116,326.14740629838377
117,327.47092774509616
118,326.72728524802824
119,330.4747116678828
120,352.5570284054047
121,350.71851213852904
122,351.55461090740874
123,352.76312391787303
124,377.8309221327554
125,376.445049232257
126,376.54023259203524
127,377.90171616547246
128,378.68943882256906
129,401.5104184128005
130,400.9058973946319
131,403.05685006712883
132,403.25634974513804
133,407.42662309819747
134,427.22061124224564
135,426.32969446681784
136,426.80133882794775
137,427.14384428863616
138,452.2636163873337
139,451.1495663750915
140,454.46858361361006
141,451.61854783820604
142,477.02026465361735
143,477.12003651428734
144,477.7085513008907
145,478.0604597811516
146,483.29228833619726
147,502.994256458419
148,501.3772116033826
149,501.0055246056139
150,507.16677169034085
151,527.0243110465757
152,527.2595922211066
153,527.7526633097189
154,528.3065506506663
155,551.2943225725792
156,553.5623932811576
157,554.8192910556448
158,556.0286072450507
159,575.7790023058162
160,579.5318569390057
161,576.4885245598949
162,578.8286166278003
163,602.9817320257523
164,603.9654901986148
165,601.1765678150595
166,605.9478113118032
167,628.9527773034056
168,626.8964759673909
169,629.0868499249555
170,635.4932066933693
171,653.9693562120519
172,651.2825289706692
173,652.1942085728531
174,679.2475298428961
175,678.543397269482
176,677.8332791367187
177,679.6221354575312
178,703.262709519386
179,704.0945711531017
180,705.1176139899824
181,707.1933122458014
182,729.1350825596853
183,726.0303513324429
184,726.8263102850386
185,752.7697226975284
186,752.0857745396788
187,755.3499481919174
188,753.1762593514494
189,779.6200314813718
190,776.2330109805278
191,778.5353733525449
192,787.7915822264335
193,803.0025655996307
194,803.496581239536
195,804.2535800597964
196,828.0666857351127
197,826.0303588863451
198,828.008747497892
199,839.5823941757437
200,853.7301798484034
201,854.827890346525
202,857.7359771634875
203,877.408168176293
204,876.3200145521881
205,881.319332302416
206,903.7032683110434
207,901.8640589550241
208,902.6459258588811
209,910.7262300826187
210,929.2013942050235
211,931.1235163467101
212,931.8036385651156
213,951.5466780555319
214,956.3470226632587
215,955.4586143710651
216,975.9772015437339
217,978.4347390338105
218,977.1101797987875
219,985.3733678530133
220,1003.1004882658978
221,1002.4090005063933
222,1006.2570534361563
223,1029.4343279502168
224,1029.2109590122452
225,1027.5381615659587
226,1026.0713078756214
227,1026.3063264264215
228,1026.4679956742586
229,1029.4585242009327
230,1029.921422939264
